,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95
2015,65,59,71,55,75
2016,65,58,72,55,75
2017,65,58,72,54,76
2018,65,58,73,54,76
2019,65,57,73,53,77
2020,65,57,73,53,77
2021,65,57,73,52,78
2022,65,56,74,52,78
2023,65,56,74,51,79
2024,65,56,74,51,79
